Learner SignUp DateTime,Opportunity Id,Opportunity Name,Opportunity Category,Opportunity End Date,Date of Birth,Gender,Country,Institution Name,Current/Intended Major,Entry created at,Status Description,Status Code,Apply Date,Opportunity Start Date
2023-06-14 12:30:35,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-01-12,Female,Pakistan,Nwihs,Radiology,2024-03-11 12:01:41,Started,1080,2023-06-14 12:36:09,2022-11-03 18:30:39
2023-05-01 05:29:16,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2000-08-16,Female,India,SAINT LOUIS,Information Systems,2024-03-11 12:01:41,Started,1080,2023-05-01 06:08:21,2022-11-03 18:30:39
2023-04-09 20:35:08,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2002-01-27,Male,United States,Illinois Institute of Technology,Computer Science,2024-03-11 12:01:41,Started,1080,2023-05-01 06:08:21,2022-11-03 18:30:39
2023-08-29 05:20:03,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1999-11-01,Female,United States,Saint Louis University,Information Systems,2024-03-11 12:01:41,Team Allocated,1070,2023-10-09 22:02:42,2022-11-03 18:30:39
2023-01-06 15:26:36,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2000-04-19,Male,United States,Saint Louis University,Computer Science,2024-03-11 12:01:41,Started,1080,2023-01-06 15:40:10,2022-11-03 18:30:39
2023-05-31 07:11:04,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2001-09-09,Male,India,Illinois Institute of Technology,Computer Science and Engineering,2024-03-11 12:01:41,Withdraw,1110,2023-06-14 05:29:41,2022-11-03 18:30:39
2023-07-22 07:30:25,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2006-02-27,Female,United Arab Emirates,GEMS New Millennium School Al Khail,Artificial Intelligence,2024-03-11 12:01:41,Team Allocated,1070,2023-07-22 07:44:24,2022-11-03 18:30:39
2023-03-20 16:36:30,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,2005-12-22,Male,India,Ashoka Academy,Robotics and Automation Engineering,2024-03-11 12:01:41,Started,1080,2023-05-24 13:44:09,2022-11-03 18:30:39
2023-05-11 03:40:33,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1998-06-26,Female,India,Illinois Institute of Technology,Computer Science,2024-03-11 12:01:41,Team Allocated,1070,2023-12-17 02:58:44,2022-11-03 18:30:39
2023-09-04 20:08:32,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2024-06-29 18:52:39,1998-10-01,Female,Nigeria,federal university  Lokoja,Data Visualization,2024-03-11 12:01:41,Team Allocated,1070,2023-09-04 21:02:00,2022-11-03 18:30:39
